Year,Country,Population,Deforestation,Harvest,PerCap-Territorial,PerCap-Consumption,Total-Territorial,Total-Consumption,Population-Increase,Deforestation-Increase,Harvest-Increase,PerCap-Territorial-Increase,Total-Territorial-Increase
2016,AGO,29154.746,33.37321,1.2917766666666666,0.224602459958737,,6548.227671072148,,551.0394838622084,31.205645690241603,403.7017299868725,1872.178710878144,12739.662100141428
2017,AGO,30208.628,33.21469333333334,1.338816666666667,0.204337959083465,,6172.769392231615,,574.5731751978034,30.582442779803426,422.04401003418405,1694.2411352161268,12003.469396532542
2018,AGO,31273.533,31.876743333333337,1.3505466666666666,0.187059638380069,,5850.015773847154,,598.35301541875,25.322337634051532,426.6178821633285,1542.5244698811928,11370.619164406151
2019,AGO,32353.588,31.583286666666663,1.3513466666666665,0.162152838723745,,5246.226137098492,,622.4711624176228,24.16862268028751,426.9298257015481,1323.8240155436333,10186.717915879364
2020,AGO,33428.486,31.56196333333333,1.2619900000000002,0.136875536598924,,4575.541958939619,,646.4741511291182,24.084790716917247,392.08703224716345,1101.870270566106,8871.650899881579
2021,AGO,34503.774,31.83035333333333,1.17283,0.139236510831534,,4804.1851022798,,670.4858487279664,25.13995691899382,357.32092491259095,1122.6014020031378,9319.970788783892
2022,AGO,35588.987,31.30196,1.1562533333333334,0.123928879026381,,4410.503264594447,,694.7191763446968,23.062596411016955,350.85719484773267,988.1888690075945,8548.04561685183
1950,ALB,1252.582,0.3842766666666666,0.0303099999999999,0.0646536333255616,,80.9839773381986,,0.0,0.0,0.0,0.0,0.0
1951,ALB,1289.168,0.4270233333333333,0.03267,0.0853137678933693,,109.9837795275591,,2.9208466990584077,11.123929807517168,7.786209171890815,31.955102142170666,35.8093083873294
1952,ALB,1326.948,0.4747699999999999,0.03491,0.0768560162175714,,101.98393700787395,,5.937016498720242,23.549005490835594,15.176509402837718,18.873468147667815,25.931005564195804
1953,ALB,1366.744,0.5043400000000001,0.04326,0.0826663804835134,,112.98377952755902,,9.114133845129484,31.24398220032447,42.72517321016214,27.86037880848723,39.51374486798233
1954,ALB,1409.005,0.5422233333333334,0.0461233333333333,0.0972202224460233,,136.98377952755908,,12.488044694878258,41.10233078597889,52.17200043989922,50.37085689596675,69.14923671320653
